timestamp,x,y,z_raw,z_filtered,proj_t,phase_state,height_state
1.77012e+09,0.169173,6.30263,-0.482498,-0.46354,0.196336,0,0
1.77012e+09,0.151977,6.5415,-0.499549,-0.495033,0.169173,0,0
1.77012e+09,0.125984,6.56808,-0.502876,-0.493042,0.151977,1,0
1.77012e+09,0.0986625,6.57374,-0.503209,-0.494901,0.125984,1,0
1.77012e+09,0.0730113,6.84698,-0.522862,-0.496085,0.0986625,1,0
1.77012e+09,0.0396922,6.73272,-0.517263,-0.502199,0.0730113,1,0
1.77012e+09,0.0127621,6.51312,-0.505194,-0.509152,0.0396922,1,0
1.77012e+09,-0.0183922,6.60158,-0.513017,-0.510281,0.0127621,1,0
1.77012e+09,-0.0469828,6.7402,-0.524347,-0.512309,-0.0183922,1,0
1.77012e+09,-0.0761441,6.73282,-0.524969,-0.516537,-0.0469828,1,0
1.77012e+09,-0.105314,6.63299,-0.5219,-0.516958,-0.0761441,1,0
1.77012e+09,-0.132985,6.70075,-0.529702,-0.517885,-0.105314,1,0
1.77012e+09,-0.162878,6.91106,-0.543638,-0.522787,-0.132985,1,0
1.77012e+09,-0.181087,6.74393,-0.536643,-0.528911,-0.162878,1,0
1.77012e+09,-0.204934,6.76539,-0.540218,-0.53137,-0.181087,2,0
1.77012e+09,-0.215572,6.53155,-0.527142,-0.53442,-0.204934,2,0
1.77012e+09,-0.247916,6.99528,-0.556995,-0.535468,-0.215572,2,0
1.77012e+09,-0.265882,7.06046,-0.562413,-0.540927,-0.247916,2,0
1.77012e+09,0.237201,6.32987,-0.387582,-0.544682,-0.265882,2,0
1.77012e+09,0.228366,6.60769,-0.400829,-0.51487,0.237201,2,0
1.77012e+09,0.209645,6.66721,-0.402462,-0.486992,0.228366,2,0
1.77012e+09,0.178813,6.43926,-0.393988,-0.462056,0.209645,2,0
1.77012e+09,0.154147,6.34572,-0.390141,-0.429455,0.178813,0,0
1.77012e+09,0.132566,6.56456,-0.402245,-0.395,0.154147,0,0
1.77012e+09,0.101994,6.56232,-0.403482,-0.397933,0.132566,1,0
1.77012e+09,0.0737888,6.42669,-0.399525,-0.398464,0.101994,1,0
1.77012e+09,0.0451307,6.42751,-0.401654,-0.397876,0.0737888,1,0
1.77012e+09,0.0160905,6.57878,-0.410249,-0.399409,0.0451307,1,0
1.77012e+09,-0.0142023,6.52346,-0.409986,-0.403431,0.0160905,1,0
1.77012e+09,-0.0425475,6.44791,-0.408703,-0.404979,-0.0142023,1,0
1.77012e+09,-0.0698965,6.36626,-0.407077,-0.406023,-0.0425475,1,0
1.77012e+09,-0.0990356,6.59159,-0.421174,-0.407534,-0.0698965,1,0
1.77012e+09,-0.12426,6.52716,-0.418667,-0.411438,-0.0990356,1,0
1.77012e+09,-0.152391,6.61248,-0.425401,-0.413121,-0.12426,1,0
1.77012e+09,-0.178957,6.70561,-0.433263,-0.416204,-0.152391,1,0
1.77012e+09,-0.193499,6.40379,-0.420767,-0.421116,-0.178957,2,0
1.77012e+09,-0.218975,6.5787,-0.431885,-0.423854,-0.193499,2,0
1.77012e+09,-0.246237,6.8579,-0.447976,-0.425996,-0.218975,2,0
1.77012e+09,-0.256344,6.702,-0.443578,-0.431858,-0.246237,2,0
1.77012e+09,0.257853,6.88491,-0.302372,-0.435494,-0.256344,2,0
1.77012e+09,0.226331,6.44429,-0.289625,-0.409316,0.257853,2,0
1.77012e+09,0.20911,6.492,-0.291422,-0.383087,0.226331,2,0
1.77012e+09,0.190682,6.61788,-0.295138,-0.354995,0.20911,2,0
1.77012e+09,0.168142,6.61588,-0.295508,-0.324427,0.190682,0,0
1.77012e+09,0.142078,6.57451,-0.295749,-0.294813,0.168142,0,0
1.77012e+09,0.114848,6.63262,-0.297272,-0.293488,0.142078,1,0
1.77012e+09,0.0861341,6.431,-0.293764,-0.295018,0.114848,1,0
1.77012e+09,0.0590315,6.5793,-0.299724,-0.295486,0.0861341,1,0
1.77012e+09,0.0304237,6.62196,-0.302503,-0.296403,0.0590315,1,0
1.77012e+09,-0.000161157,6.61823,-0.305523,-0.297802,0.0304237,1,0
1.77012e+09,-0.0301935,6.49397,-0.304629,-0.299757,-0.000161157,1,0
1.77012e+09,-0.0571322,6.47814,-0.305232,-0.301229,-0.0301935,1,0
1.77012e+09,-0.0909121,6.6445,-0.31369,-0.303522,-0.0571322,1,0
